Species.Code,Site.Code,GS.Type,Abund,Avg.Max.Height..m.,Growth.rate,Shade.tolerance,Drought.tolerance,Tree.Shape,Flowering,Fruiting,Fall.Colour,Leaf.shape,Bark.texture
ACSA,KP2,Inst,5,18,2,4,3,0,1,1,0,1,2
ACNE,KP4,Inst,2,12,2,4,4,0,1,1,0,3,3
GLTR,KP5,Inst,4,15,2,2,5,0,1,0,0,3,3
ACNE,KP6,Inst,3,12,2,4,4,0,1,1,0,3,3
CEOC,KP6,Inst,1,15,2,3,4,0,1,0,0,2,2
ACPL,KP7,Inst,1,13.5,2,3,3,0,1,1,0,1,2
MGXXSO,KP7,Inst,1,7.6,1,3,2,3,0,1,1,2,1
PRSE,KP7,Inst,1,16.5,2,2,3,0,0,0,0,2,3
SYVU,KP7,Inst,1,3.5,1,3,3,3,0,1,0,2,1
THOC,KP7,Inst,36,15,0,4,3,1,1,1,1,5,3
ACSA,KP8,Inst,2,18,2,4,3,0,1,1,0,1,2
THOC,KP8,Inst,7,15,0,4,3,1,1,1,1,5,3
ACNE,KP9,Inst,7,12,2,4,4,0,1,1,0,3,3
ACPL,KP9,Inst,1,13.5,2,3,3,0,1,1,0,1,2
PONI,KP9,Inst,2,24.4,2,2,2,2,1,1,0,2,2
PRVI,KP9,Inst,1,8.5,1,3,3,0,0,0,0,2,1
THOC,KS1,Inst,4,15,0,4,3,1,1,1,1,5,3
MABA,KS2,Inst,1,8.5,1,2,3,0,0,0,0,2,3
RHTY,KS2,Inst,1,6.5,2,2,4,3,1,0,0,3,1
SYRE,KS2,Inst,1,7.5,1,2,3,0,0,1,1,2,1
THOC,KS2,Inst,2,15,0,4,3,1,1,1,1,5,3
JUCO,LH10,Inst,1,2.3,0,2,4,3,1,0,1,5,3
JUVI,LH10,Inst,3,13.7,1,1,5,1,1,1,1,5,3
ACPL,LH12,Inst,1,13.5,2,3,3,0,1,1,0,1,2
ACSA,LH12,Inst,1,18,2,4,3,0,1,1,0,1,2
MABA,LH2,Inst,1,8.5,1,2,3,0,0,0,0,2,3
SYVU,LH2,Inst,6,3.5,1,3,3,3,0,1,0,2,1
ACPL,LH3,Inst,4,13.5,2,3,3,0,1,1,0,1,2
JUCO,LH3,Inst,1,2.3,0,2,4,3,1,0,1,5,3
JUVI,LH3,Inst,2,13.7,1,1,5,1,1,1,1,5,3
ACSA,LH4,Inst,1,18,2,4,3,0,1,1,0,1,2
TIAM,LH4,Inst,1,21,1,4,3,0,0,1,0,2,2
JUVI,LH7,Inst,1,13.7,1,1,5,1,1,1,1,5,3
TICO,LH7,Inst,1,19.5,1,5,3,1,0,1,0,2,2
ACPL,LH8,Inst,1,13.5,2,3,3,0,1,1,0,1,2
JUVI,LH8,Inst,1,13.7,1,1,5,1,1,1,1,5,3
QUMA,LH8,Inst,2,22.5,1,3,4,0,1,1,0,1,2
TICO,LH8,Inst,1,19.5,1,5,3,1,0,1,0,2,2
FRPE,LO1,Park,3,16.5,2,3,4,0,1,1,0,3,2
ACPL,LO10,Park,1,13.5,2,3,3,0,1,1,0,1,2
GLTR,LO10,Park,1,15,2,2,5,0,1,0,0,3,3
PRNI,LO10,Park,1,7.6,1,2,2,0,0,0,0,2,1
TICO,LO10,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACSC,LO100,Park,3,20.5,1,5,3,0,1,1,0,1,2
ACPL,LO102,Park,2,13.5,2,3,3,0,1,1,0,1,2
CEJA,LO102,Park,3,15,2,2,2,0,1,1,0,3,3
