Site.Code,GS.Type,Max.Height.cwm,Growth.rate.cwm,Shade.tol.cwm,Drought.tol.cwm,Tree.shape.cwm,Flowering.cwm,Fruiting.cwm,Fall.col.cwm,Leaf.shape.cwm,Bark.cwm,,,,,,,,,,,,,,,
LO6,Park,20.4,2,3,3.5,0,1,1,0,2.5,2,,,,,,,,,,,,,,,
LO60,Park,15,2,4,2,0,0,1,0,1,3,,,,,,,,,,,,,,,
LO63,Park,12.92,0.2,3.6,3.2,0.4,0.8,0.6,0.4,3.2,2.8,,,,,,,,,,,,,,,
LO64,Park,16.22222222,1.888888889,3.111111111,3.888888889,0,1,0.222222222,0,1.888888889,2.111111111,,,,,,,,,,,,,,,
LO65,Park,13.73333333,1,3.5,3.166666667,1,0.5,0.833333333,0.5,3,2.5,,,,,,,,,,,,,,,
LO66,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO67,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO68,Park,10.28125,0.9375,4.0625,2.5625,1.8125,0.375,0.9375,0.125,2.25,1.6875,,,,,,,,,,,,,,,
LO7,Park,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
LO71,Park,20.5,1,5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO72,Park,19,1,2,3,0,1,0,1,3,2,,,,,,,,,,,,,,,
LO75,Park,15.475,0.75,3,3.25,1.25,0.75,1,0.5,3,2.5,,,,,,,,,,,,,,,
LO76,Park,16.5,2,3,4,0,1,1,0,3,2,,,,,,,,,,,,,,,
LO77,Park,20.96,2,3.2,2.6,0,1,1,0,1.4,2,,,,,,,,,,,,,,,
LO80,Park,11.56666667,1.333333333,2.444444444,3.555555556,0.333333333,0.333333333,0.555555556,0.333333333,3,2.777777778,,,,,,,,,,,,,,,
LO81,Park,16.5,1,3,4,0,1,1,0,1,3,,,,,,,,,,,,,,,
LO83,Park,15,2,2,3,1,1,1,0,1,2,,,,,,,,,,,,,,,
LO84,Park,14.625,0,4.5,2.25,1,1,1,1,5,3,,,,,,,,,,,,,,,
LO85,Park,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LO86,Park,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
LO89,Park,11.25,1,2.75,3,0.25,0,0.25,0,2,2.75,,,,,,,,,,,,,,,
